Date,Value
2016-04-05,32.71
2016-04-04,33.4
2016-04-01,34.54
2016-03-31,34.33
2016-03-30,34.91
2016-03-29,34.5
2016-03-28,35.48
2016-03-25,34.96
2016-03-24,34.96
2016-03-23,36.19
2016-03-22,36.67
2016-03-21,36.27
2016-03-18,36.59
2016-03-17,36.36
2016-03-16,34.5
2016-03-15,33.69
2016-03-14,34.74
2016-03-11,35.62
2016-03-10,35.23
2016-03-09,35.05
2016-03-08,35.07
2016-03-07,34.43
2016-03-04,32.42
2016-03-03,31.68
2016-03-02,31.72
2016-03-01,31.65
2016-02-29,30.13
2016-02-26,30.74
2016-02-25,29.19
2016-02-24,28.3
2016-02-23,28.94
2016-02-22,29.48
2016-02-19,29.17
2016-02-18,29.96
2016-02-17,28.18
2016-02-16,29.35
2016-02-15,28.44
2016-02-12,26.74
2016-02-11,25.21
2016-02-10,25.93
2016-02-09,28.33
2016-02-08,29.0
2016-02-05,29.3
2016-02-04,29.93
2016-02-03,28.65
2016-02-02,28.4
2016-02-01,29.73
2016-01-29,29.11
2016-01-28,28.28
2016-01-27,26.4
2016-01-26,25.11
2016-01-25,25.58
2016-01-22,25.5
2016-01-21,22.89
2016-01-20,22.48
2016-01-19,23.85
2016-01-18,23.58
2016-01-15,24.74
2016-01-14,25.0
2016-01-13,25.69
2016-01-12,25.76
2016-01-11,27.07
2016-01-08,28.47
2016-01-07,27.85
2016-01-06,29.71
2016-01-05,31.21
2016-01-04,31.79
2015-12-31,31.27
2015-12-30,31.42
2015-12-29,31.55
2015-12-28,31.71
2015-12-24,32.17
2015-12-23,31.25
2015-12-22,31.15
2015-12-21,30.74
2015-12-18,31.63
2015-12-17,31.49
2015-12-16,32.28
2015-12-15,32.56
2015-12-14,32.55
2015-12-11,33.71
2015-12-10,34.64
2015-12-09,34.74
2015-12-08,35.25
2015-12-07,36.4
2015-12-04,38.03
2015-12-03,37.84
2015-12-02,38.4
2015-12-01,39.25
2015-11-30,38.93
2015-11-27,39.08
2015-11-26,39.65
2015-11-25,39.81
2015-11-24,39.59
2015-11-23,38.35
2015-11-20,38.37
2015-11-19,38.52
2015-11-18,38.04
2015-11-17,38.29
2015-11-16,38.18
2015-11-13,39.21
2015-11-12,40.21
2015-11-11,41.53
2015-11-10,42.26
2015-11-09,42.13
2015-11-06,42.72
2015-11-05,43.28
2015-11-04,44.43
2015-11-03,43.89
